x1,x2,y
0.5547334,0.38297967,-1
0.95598815,-0.80157282,1
-0.77089155,0.43341968,1
0.88986401,-0.5311467,1
-0.26199343,0.066586981,1
0.64157196,-0.18224977,1
-0.41531211,0.77832594,1
0.46745673,0.81829167,-1
0.47789055,-0.24897772,1
-0.82623795,0.94397856,1
-0.94592941,-0.42810919,1
0.50662354,-0.80927375,1
-0.53612852,0.027239961,1
0.41017996,0.43030737,-1
-0.2616225,-0.58031367,-1
0.3191128,0.21557907,-1
0.14756822,-0.81499284,1
0.62989832,0.6996973,-1
-0.95407922,0.92649187,1
-0.24492709,0.018247041,-1
0.58108886,0.3161036,-1
0.041018695,-0.45715509,-1
0.58396336,0.68267605,-1
-0.48730486,0.86463229,1
0.82589939,-0.049791886,1
0.52174069,-0.8894654,1
0.83882489,-0.82646301,1
-0.62960544,-0.14889383,-1
0.8524444,-1.0574672,1
0.38323766,0.6788227,-1
-0.056987331,0.6058403,1
0.30412897,-1.0666795,1
-0.86141937,-0.2262483,1
-0.86320225,0.20290163,1
0.5594634,0.15353255,-1
-0.41758769,-0.32695057,-1
0.12212703,-0.2489654,-1
0.74665959,0.55546242,-1
0.20615224,0.57418978,1
-0.89098492,0.49858238,1
-0.68592982,-0.46911031,-1
-0.1978071,-0.13615995,-1
0.61697403,0.12927644,-1
-0.79341609,0.36140632,1
-1.0101707,0.078496772,1
-0.86176046,-0.57865892,-1
-0.19720509,0.27524501,-1
0.57561847,0.93704466,1
-0.61354207,-0.94116391,-1
-0.55181353,-0.26804314,-1
0.1600374,-0.34197787,-1
-0.39716418,0.65651695,1
-0.57886995,-0.87340266,-1
0.83179248,-0.085337474,1
-0.29893087,-0.42892168,-1
-0.14926315,0.65394038,1
-0.74495752,-0.71933493,-1
0.15562362,0.92067567,1
0.52893831,0.91665351,-1
0.082824454,-0.62795455,1
-0.93987636,-0.66272682,-1
0.71418089,-0.25977397,1
-0.011125764,-0.84275573,1
0.54275886,0.11839569,-1
0.73410595,-0.89072193,1
0.37896208,-0.11608314,-1
-0.16656364,-0.41054076,-1
-0.78201587,0.37672979,1
0.27177275,0.81096707,1
-0.86780139,-0.67610958,-1
-0.18120946,0.68091241,1
-0.044472888,0.000441472,-1
0.42931482,0.8289092,-1
-0.83797535,-0.076967158,1
0.69977931,-0.208176,1
0.77403264,0.51157,-1
-0.68813838,0.79310664,1
-0.42531784,-0.85040532,-1
0.44357173,-0.24214875,1
-0.002186066,0.69743662,1
0.32546528,-0.1857858,-1
0.27126831,-0.85202415,1
0.20834261,-0.82931143,1
-0.33803178,-0.8940425,-1
-0.024260246,-0.55091178,-1
0.25541631,-0.2883609,-1
-0.71661879,0.00041986,1
0.13171741,-0.45983099,-1
0.34455847,-0.12877727,-1
0.082438408,-0.97262595,1
0.53327355,0.29512885,-1
-0.33881875,0.91995587,1
0.55124163,-0.84634282,1
-0.41056066,0.51225154,1
0.46292501,-0.73563881,1
0.57568892,-0.58952332,1
-0.63209364,-0.98042189,-1
-0.16764181,-0.52920071,-1
0.72036792,-1.0400766,1
0.75002909,-0.53809352,1
0.25173,-0.96077128,1
-0.72459762,0.074403736,1
-0.7204275,-0.55720908,-1
-0.95384434,0.47741916,1
0.71149028,-0.99011601,1
0.29083625,-0.4432036,1
0.31974619,-0.40070957,1
0.23353842,0.63672589,1
-0.19596922,-0.99010507,1
-0.43776733,0.011653144,1
-0.35482986,0.81982,1
0.34704463,-0.54508368,1
0.83637625,0.3438308,-1
-0.7138508,-0.64057506,-1
